INCD_NO,INCD_START,INCD_END,FIRE_NAME,FIRE_AR_HA,FIRE_TYPE,IGN_DATE,IGN_SEASON,IGN_CAUSE1,IGN_CAUSE2,SHAPE_AREA,SHAPE_LEN,AREA_PERC,INCD_START2,INCD_END2
206,"""1980-12-23T00:00:00.000Z""","""1980-12-24T00:00:00.000Z""",Angus Rivulet 1 (FT),12.80452257,Bushfire,"""1980-12-23T00:00:00.000Z""",19801981,Undetermined,Unknown,128045.2257,1286.540865,0.001256094,1980-12-23T00:00:00.000Z,1980-12-24T00:00:00.000Z
8,"""1981-01-07T00:00:00.000Z""","""1981-01-07T00:00:00.000Z""",Garibaldi Road (FT),33.26737634,Bushfire,"""1981-01-07T00:00:00.000Z""",19801981,Undetermined,Unknown,332673.7634,2992.17452,0.003263452,1981-01-07T00:00:00.000Z,1981-01-07T00:00:00.000Z
209,"""1981-01-08T00:00:00.000Z""","""1981-01-08T00:00:00.000Z""",Buckland Rd 1 (FT),63.98942741,Bushfire,"""1981-01-08T00:00:00.000Z""",19801981,Accidental,Escape,639894.2741,3706.754669,0.006277214,1981-01-08T00:00:00.000Z,1981-01-08T00:00:00.000Z
302,"""1981-01-08T00:00:00.000Z""","""1981-01-09T00:00:00.000Z""",Mt Connection 1 (FT),300.4988145,Bushfire,"""1981-01-08T00:00:00.000Z""",19801981,Accidental,Escape,3004988.145,9760.360415,0.029478237,1981-01-08T00:00:00.000Z,1981-01-09T00:00:00.000Z
212,"""1981-01-13T00:00:00.000Z""","""1981-01-14T00:00:00.000Z""",dareshill1,0.32312326,Bushfire,"""1981-01-13T00:00:00.000Z""",19801981,Deliberate,Arson,3231.232595,209.6597833,3.17E-05,1981-01-13T00:00:00.000Z,1981-01-14T00:00:00.000Z
318,"""1981-01-13T00:00:00.000Z""","""1981-01-15T00:00:00.000Z""",Mt Andrew,16.01871734,Bushfire,"""1981-01-13T00:00:00.000Z""",19801981,Accidental,Escape,160187.1734,2693.616235,0.001571399,1981-01-13T00:00:00.000Z,1981-01-15T00:00:00.000Z
211,"""1981-01-13T00:00:00.000Z""","""1981-01-15T00:00:00.000Z""",Mt Brown 2 (FT),46.32461002,Bushfire,"""1981-01-13T00:00:00.000Z""",19801981,Accidental,Escape,463246.1002,3207.349507,0.004544337,1981-01-13T00:00:00.000Z,1981-01-15T00:00:00.000Z
303,"""1981-01-08T00:00:00.000Z""","""1981-01-22T00:00:00.000Z""",Cygnet River 1 (FT),473.8750148,Bushfire,"""1981-01-08T00:00:00.000Z""",19801981,Accidental,Escape,4738750.148,9639.527995,0.04648604,1981-01-08T00:00:00.000Z,1981-01-22T00:00:00.000Z
213,"""1981-02-01T00:00:00.000Z""","""1981-02-03T00:00:00.000Z""",Lake King William 3 (FT),6.93222162,Bushfire,"""1981-02-01T00:00:00.000Z""",19801981,Undetermined,Unknown,69322.21623,1080.713774,0.000680035,1981-02-01T00:00:00.000Z,1981-02-03T00:00:00.000Z
21,"""1981-02-07T00:00:00.000Z""","""1981-02-09T00:00:00.000Z""",Mt Helen North (FT),20.69511173,Bushfire,"""1981-02-07T00:00:00.000Z""",19801981,Deliberate,Arson,206951.1173,2296.155238,0.002030142,1981-02-07T00:00:00.000Z,1981-02-09T00:00:00.000Z
214,"""1981-02-27T00:00:00.000Z""","""1981-03-01T00:00:00.000Z""",Newitts PP1 (FT),23.36937711,Bushfire,"""1981-02-27T00:00:00.000Z""",19801981,Accidental,Escape,233693.7711,1843.207932,0.002292482,1981-02-27T00:00:00.000Z,1981-03-01T00:00:00.000Z
316,"""1981-03-19T00:00:00.000Z""","""1981-03-30T00:00:00.000Z""",Jimmys Creek (FT),83.20571012,Bushfire,"""1981-03-19T00:00:00.000Z""",19801981,Accidental,Escape,832057.1012,4944.151085,0.008162287,1981-03-19T00:00:00.000Z,1981-03-30T00:00:00.000Z
81820003,"""1981-11-02T00:00:00.000Z""","""1981-11-06T00:00:00.000Z""",Killymoon - Valley Road (FT),642.3745825,Bushfire,"""1981-11-02T00:00:00.000Z""",19811982,Accidental,Escape,6423745.825,11346.45515,0.063015457,1981-11-02T00:00:00.000Z,1981-11-06T00:00:00.000Z
201,"""1981-12-01T00:00:00.000Z""","""1981-12-01T00:00:00.000Z""",Ljackdam 1 (FT),2.42507949,Bushfire,"""1981-12-01T00:00:00.000Z""",19811982,Deliberate,Arson,24250.79491,571.7055243,0.000237895,1981-12-01T00:00:00.000Z,1981-12-01T00:00:00.000Z
202,"""1981-12-01T00:00:00.000Z""","""1981-12-02T00:00:00.000Z""",Ljackdam 2 (FT),30.90757483,Bushfire,"""1981-12-01T00:00:00.000Z""",19811982,Deliberate,Arson,309075.7483,2959.431032,0.003031961,1981-12-01T00:00:00.000Z,1981-12-02T00:00:00.000Z
203,"""1981-12-01T00:00:00.000Z""","""1981-12-02T00:00:00.000Z""",Ljackdam 3 (FT),45.36186845,Bushfire,"""1981-12-01T00:00:00.000Z""",19811982,Deliberate,Arson,453618.6845,2672.230367,0.004449894,1981-12-01T00:00:00.000Z,1981-12-02T00:00:00.000Z
200,"""1981-11-30T00:00:00.000Z""","""1981-12-02T00:00:00.000Z""",Clarence Weir 1 (FT),134.1111464,Bushfire,"""1981-11-30T00:00:00.000Z""",19811982,Deliberate,Arson,1341111.464,4747.848979,0.013155993,1981-11-30T00:00:00.000Z,1981-12-02T00:00:00.000Z
204,"""1981-12-11T00:00:00.000Z""","""1981-12-12T00:00:00.000Z""",Tin Pot Ck 1 (FT),63.42987683,Bushfire,"""1981-12-11T00:00:00.000Z""",19811982,Undetermined,Unknown,634298.7683,3760.805363,0.006222324,1981-12-11T00:00:00.000Z,1981-12-12T00:00:00.000Z
300,"""1981-12-12T00:00:00.000Z""","""1981-12-13T00:00:00.000Z""",Mt Punter 1 (FT),411.3220499,Bushfire,"""1981-12-12T00:00:00.000Z""",19811982,Accidental,Escape,4113220.499,9319.3984,0.04034974,1981-12-12T00:00:00.000Z,1981-12-13T00:00:00.000Z
4,"""1981-12-20T00:00:00.000Z""","""1981-12-21T00:00:00.000Z""",Parrs Rivulet (FT),17.03140202,Bushfire,"""1981-12-20T00:00:00.000Z""",19811982,Undetermined,Unknown,170314.0202,2203.574462,0.001670741,1981-12-20T00:00:00.000Z,1981-12-21T00:00:00.000Z
903,"""1981-12-18T00:00:00.000Z""","""1981-12-22T00:00:00.000Z""",Snow Hill 1 (FT),307.0061181,Bushfire,"""1981-12-18T00:00:00.000Z""",19811982,Accidental,Escape,3070061.18,12616.01433,0.030116588,1981-12-18T00:00:00.000Z,1981-12-22T00:00:00.000Z
205,"""1982-01-05T00:00:00.000Z""","""1982-01-06T00:00:00.000Z""",Richardsons Road 1,144.233346,Bushfire,"""1982-01-05T00:00:00.000Z""",19811982,Deliberate,Arson,1442333.46,6473.232449,0.014148957,1982-01-05T00:00:00.000Z,1982-01-06T00:00:00.000Z
302,"""1982-01-11T00:00:00.000Z""","""1982-01-12T00:00:00.000Z""",Benham 1 (FT),98.4166027,Bushfire,"""1982-01-11T00:00:00.000Z""",19811982,Accidental,Accident,984166.027,3925.538666,0.009654441,1982-01-11T00:00:00.000Z,1982-01-12T00:00:00.000Z
206,"""1982-01-16T00:00:00.000Z""","""1982-01-16T00:00:00.000Z""",bronteoldmill1,3.38374668,Bushfire,"""1982-01-16T00:00:00.000Z""",19811982,Deliberate,Arson,33837.46677,669.1373122,0.000331938,1982-01-16T00:00:00.000Z,1982-01-16T00:00:00.000Z
14,"""1982-01-18T00:00:00.000Z""","""1982-01-19T00:00:00.000Z""",Forester River (FT),30.29880937,Bushfire,"""1982-01-18T00:00:00.000Z""",19811982,Deliberate,Arson,302988.0937,2652.631521,0.002972243,1982-01-18T00:00:00.000Z,1982-01-19T00:00:00.000Z
207,"""1982-02-05T00:00:00.000Z""","""1982-02-05T00:00:00.000Z""",bradycanal1,0.43549794,Bushfire,"""1982-02-05T00:00:00.000Z""",19811982,Deliberate,Arson,4354.979363,264.8659205,4.27E-05,1982-02-05T00:00:00.000Z,1982-02-05T00:00:00.000Z
208,"""1982-02-06T00:00:00.000Z""","""1982-02-06T00:00:00.000Z""",Lake King William 1 (FT),7.71196308,Bushfire,"""1982-02-06T00:00:00.000Z""",19811982,Undetermined,Unknown,77119.63084,1132.695671,0.000756526,1982-02-06T00:00:00.000Z,1982-02-06T00:00:00.000Z
209,"""1982-02-06T00:00:00.000Z""","""1982-02-12T00:00:00.000Z""",Dee 1 (FT),180.7130606,Bushfire,"""1982-02-06T00:00:00.000Z""",19811982,Deliberate,Arson,1807130.606,5138.98808,0.017727532,1982-02-06T00:00:00.000Z,1982-02-12T00:00:00.000Z
430,"""1982-02-15T00:00:00.000Z""","""1982-02-16T00:00:00.000Z""",Dromedary 2 (FT),10888.14969,Bushfire,"""1982-02-15T00:00:00.000Z""",19811982,Undetermined,Unknown,108881496.9,85060.68734,1.068102243,1982-02-15T00:00:00.000Z,1982-02-16T00:00:00.000Z
216,"""1982-02-14T00:00:00.000Z""","""1982-02-17T00:00:00.000Z""",Oneoclockhill 1 (FT),130.1852016,Bushfire,"""1982-02-14T00:00:00.000Z""",19811982,Undetermined,Unknown,1301852.016,4350.378418,0.012770866,1982-02-14T00:00:00.000Z,1982-02-17T00:00:00.000Z
211,"""1982-02-11T00:00:00.000Z""","""1982-02-18T00:00:00.000Z""",Runnymede 2 (FT),513.3636063,Bushfire,"""1982-02-11T00:00:00.000Z""",19811982,Accidental,Escape,5133636.063,11457.70937,0.05035978,1982-02-11T00:00:00.000Z,1982-02-18T00:00:00.000Z
856,"""1982-02-14T00:00:00.000Z""","""1982-03-03T00:00:00.000Z""",Tungatinah 1 (FT),7609.818962,Bushfire,"""1982-02-14T00:00:00.000Z""",19811982,Deliberate,Arson,76098189.62,77260.71092,0.746505598,1982-02-14T00:00:00.000Z,1982-03-03T00:00:00.000Z
303,"""1982-02-28T00:00:00.000Z""","""1982-03-04T00:00:00.000Z""",Lake Leake2 (FT),30.65082897,Bushfire,"""1982-02-28T00:00:00.000Z""",19811982,Undetermined,Unknown,306508.2897,2264.920837,0.003006775,1982-02-28T00:00:00.000Z,1982-03-04T00:00:00.000Z
630,"""1982-02-12T00:00:00.000Z""","""1982-03-05T00:00:00.000Z""",Pine River 1 (FT),13647.91485,Bushfire,"""1982-02-12T00:00:00.000Z""",19811982,Deliberate,Arson,136479148.5,65448.07254,1.338828807,1982-02-12T00:00:00.000Z,1982-03-05T00:00:00.000Z
219,"""1982-03-22T00:00:00.000Z""","""1982-03-22T00:00:00.000Z""",Wedge 1 (FT),15.58041249,Bushfire,"""1982-03-22T00:00:00.000Z""",19811982,Accidental,Escape,155804.1249,1965.485869,0.001528402,1982-03-22T00:00:00.000Z,1982-03-22T00:00:00.000Z
220,"""1982-03-22T00:00:00.000Z""","""1982-03-22T00:00:00.000Z""",Wedge 2 (FT),17.73488055,Bushfire,"""1982-03-22T00:00:00.000Z""",19811982,Accidental,Escape,177348.8055,1717.844987,0.001739751,1982-03-22T00:00:00.000Z,1982-03-22T00:00:00.000Z
218,"""1982-03-22T00:00:00.000Z""","""1982-03-22T00:00:00.000Z""",Army 1 (FT),235.4095932,Bushfire,"""1982-03-22T00:00:00.000Z""",19811982,Accidental,Escape,2354095.932,6830.368172,0.023093135,1982-03-22T00:00:00.000Z,1982-03-22T00:00:00.000Z
217,"""1982-03-21T00:00:00.000Z""","""1982-03-25T00:00:00.000Z""",Woodsdale 1 (FT),441.8611189,Bushfire,"""1982-03-21T00:00:00.000Z""",19811982,Accidental,Escape,4418611.189,10972.8641,0.043345551,1982-03-21T00:00:00.000Z,1982-03-25T00:00:00.000Z
203,"""1982-09-08T00:00:00.000Z""","""1982-09-13T00:00:00.000Z""",Long Creek 1,161.6014784,Bushfire,"""1982-09-08T00:00:00.000Z""",19821983,Deliberate,Arson,1616014.784,5917.554293,0.01585273,1982-09-08T00:00:00.000Z,1982-09-13T00:00:00.000Z
300,"""1982-10-12T00:00:00.000Z""","""1982-10-12T00:00:00.000Z""",Lake Leake1 (FT),298.2741465,Bushfire,"""1982-10-12T00:00:00.000Z""",19821983,Accidental,Escape,2982741.465,7492.351718,0.029260002,1982-10-12T00:00:00.000Z,1982-10-12T00:00:00.000Z
301,"""1982-10-14T00:00:00.000Z""","""1982-10-15T00:00:00.000Z""",Jackies Flats1 (FT),429.6402503,Bushfire,"""1982-10-14T00:00:00.000Z""",19821983,Accidental,Escape,4296402.502,9067.803882,0.042146713,1982-10-14T00:00:00.000Z,1982-10-15T00:00:00.000Z
200,"""1982-11-02T00:00:00.000Z""","""1982-11-04T00:00:00.000Z""",levendale1,45.55344808,Bushfire,"""1982-11-02T00:00:00.000Z""",19821983,Accidental,Escape,455534.4808,3345.45618,0.004468688,1982-11-02T00:00:00.000Z,1982-11-04T00:00:00.000Z
402,"""1982-11-05T00:00:00.000Z""","""1982-11-06T00:00:00.000Z""",Dry Hills 1 (FT),24.95961972,Bushfire,"""1982-11-05T00:00:00.000Z""",19821983,Undetermined,Unknown,249596.1972,2793.012854,0.002448481,1982-11-05T00:00:00.000Z,1982-11-06T00:00:00.000Z
207,"""1982-11-07T00:00:00.000Z""","""1982-11-07T00:00:00.000Z""",Osterley 1 (FT),354.6161832,Bushfire,"""1982-11-07T00:00:00.000Z""",19821983,Undetermined,Unknown,3546161.832,7997.086698,0.034787025,1982-11-07T00:00:00.000Z,1982-11-07T00:00:00.000Z
206,"""1982-11-07T00:00:00.000Z""","""1982-11-08T00:00:00.000Z""",Native Tier 1 (FT),2.29767685,Bushfire,"""1982-11-07T00:00:00.000Z""",19821983,Accidental,Escape,22976.76849,552.4120865,0.000225397,1982-11-07T00:00:00.000Z,1982-11-08T00:00:00.000Z
205,"""1982-11-07T00:00:00.000Z""","""1982-11-08T00:00:00.000Z""",Tanina Bluff (FT),894.0069216,Bushfire,"""1982-11-07T00:00:00.000Z""",19821983,Accidental,Escape,8940069.216,21339.59584,0.087700006,1982-11-07T00:00:00.000Z,1982-11-08T00:00:00.000Z
204,"""1982-11-06T00:00:00.000Z""","""1982-11-08T00:00:00.000Z""",Smith Stops 1 (FT),2746.31188,Bushfire,"""1982-11-06T00:00:00.000Z""",19821983,Undetermined,Unknown,27463118.8,23277.608,0.269406829,1982-11-06T00:00:00.000Z,1982-11-08T00:00:00.000Z
202,"""1982-11-06T00:00:00.000Z""","""1982-11-09T00:00:00.000Z""",Levevdale 2 (FT),2659.301439,Bushfire,"""1982-11-06T00:00:00.000Z""",19821983,Accidental,Escape,26593014.39,38475.90885,0.260871306,1982-11-06T00:00:00.000Z,1982-11-09T00:00:00.000Z
303,"""1982-11-15T00:00:00.000Z""","""1982-11-18T00:00:00.000Z""",Bens Marsh 1 (FT),426.2719541,Bushfire,"""1982-11-15T00:00:00.000Z""",19821983,Undetermined,Unknown,4262719.541,10983.81047,0.04181629,1982-11-15T00:00:00.000Z,1982-11-18T00:00:00.000Z
304,"""1982-11-19T00:00:00.000Z""","""1982-11-23T00:00:00.000Z""",Tooms Lake 1 (FT),141.6655271,Bushfire,"""1982-11-19T00:00:00.000Z""",19821983,Undetermined,Unknown,1416655.271,6532.60517,0.01389706,1982-11-19T00:00:00.000Z,1982-11-23T00:00:00.000Z
208,"""1982-11-13T00:00:00.000Z""","""1982-11-28T00:00:00.000Z""",Hylands Rd 1 (FT),104.8428787,Bushfire,"""1982-11-13T00:00:00.000Z""",19821983,Deliberate,Arson,1048428.787,5047.000115,0.010284843,1982-11-13T00:00:00.000Z,1982-11-28T00:00:00.000Z
305,"""1982-11-24T00:00:00.000Z""","""1982-11-29T00:00:00.000Z""",Tooms Lake 2 (FT),9.4236227,Bushfire,"""1982-11-24T00:00:00.000Z""",19821983,Undetermined,Unknown,94236.22703,1279.947355,0.000924436,1982-11-24T00:00:00.000Z,1982-11-29T00:00:00.000Z
212,"""1982-11-13T00:00:00.000Z""","""1982-11-29T00:00:00.000Z""",The Butts 1 (FT),89.33618617,Bushfire,"""1982-11-13T00:00:00.000Z""",19821983,Accidental,Escape,893361.8617,3844.148148,0.008763673,1982-11-13T00:00:00.000Z,1982-11-29T00:00:00.000Z
211,"""1982-11-24T00:00:00.000Z""","""1982-11-30T00:00:00.000Z""",Bung Creek 1 (FT),750.0442441,Bushfire,"""1982-11-24T00:00:00.000Z""",19821983,Undetermined,Unknown,7500442.441,20641.47746,0.073577602,1982-11-24T00:00:00.000Z,1982-11-30T00:00:00.000Z
213,"""1982-11-24T00:00:00.000Z""","""1982-11-30T00:00:00.000Z""",Coal River 1 (FT),753.1749842,Bushfire,"""1982-11-24T00:00:00.000Z""",19821983,Accidental,Escape,7531749.842,21306.40054,0.07388472,1982-11-24T00:00:00.000Z,1982-11-30T00:00:00.000Z
214,"""1982-11-30T00:00:00.000Z""","""1982-12-01T00:00:00.000Z""",kennethlagoon1,0.98654164,Bushfire,"""1982-11-30T00:00:00.000Z""",19821983,Undetermined,Unknown,9865.416391,365.6648382,9.68E-05,1982-11-30T00:00:00.000Z,1982-12-01T00:00:00.000Z
209,"""1982-11-18T00:00:00.000Z""","""1982-12-01T00:00:00.000Z""",pinecreek1,207.8537878,Bushfire,"""1982-11-18T00:00:00.000Z""",19821983,Accidental,Escape,2078537.878,7486.259461,0.020389975,1982-11-18T00:00:00.000Z,1982-12-01T00:00:00.000Z
215,"""1982-12-17T00:00:00.000Z""","""1982-12-19T00:00:00.000Z""",Runnymede 1 (FT),6.00836517,Bushfire,"""1982-12-17T00:00:00.000Z""",19821983,Accidental,Escape,60083.65165,954.2187841,0.000589407,1982-12-17T00:00:00.000Z,1982-12-19T00:00:00.000Z
306,"""1983-01-14T00:00:00.000Z""","""1983-01-17T00:00:00.000Z""",Little Bluetier 1 (FT),52.27676354,Bushfire,"""1983-01-14T00:00:00.000Z""",19821983,Undetermined,Unknown,522767.6354,3891.874987,0.005128229,1983-01-14T00:00:00.000Z,1983-01-17T00:00:00.000Z
307,"""1983-01-19T00:00:00.000Z""","""1983-01-24T00:00:00.000Z""",Mt Little John 1 (FT),104.8758989,Bushfire,"""1983-01-19T00:00:00.000Z""",19821983,Accidental,Escape,1048758.989,4304.32986,0.010288083,1983-01-19T00:00:00.000Z,1983-01-24T00:00:00.000Z
309,"""1983-01-25T00:00:00.000Z""","""1983-01-25T00:00:00.000Z""",Bens Marsh 2 (FT),2.63971736,Bushfire,"""1983-01-25T00:00:00.000Z""",19821983,Undetermined,Unknown,26397.17355,599.6605345,0.00025895,1983-01-25T00:00:00.000Z,1983-01-25T00:00:00.000Z
308,"""1983-01-20T00:00:00.000Z""","""1983-01-25T00:00:00.000Z""",Little Bluetier 2 (FT),219.4508568,Bushfire,"""1983-01-20T00:00:00.000Z""",19821983,Accidental,Escape,2194508.568,7465.932896,0.02152762,1983-01-20T00:00:00.000Z,1983-01-25T00:00:00.000Z
216,"""1983-01-22T00:00:00.000Z""","""1983-01-26T00:00:00.000Z""",Simpsons Ck 4 (FT),6.82624025,Bushfire,"""1983-01-22T00:00:00.000Z""",19821983,Undetermined,Unknown,68262.40247,1039.74744,0.000669638,1983-01-22T00:00:00.000Z,1983-01-26T00:00:00.000Z
217,"""1983-01-31T00:00:00.000Z""","""1983-02-05T00:00:00.000Z""",Simpsons Ck 5 (FT),15.28920684,Bushfire,"""1983-01-31T00:00:00.000Z""",19821983,Undetermined,Unknown,152892.0684,1743.694333,0.001499836,1983-01-31T00:00:00.000Z,1983-02-05T00:00:00.000Z
218,"""1983-01-31T00:00:00.000Z""","""1983-02-08T00:00:00.000Z""",Poisonhill 1 (FT),1131.768496,Bushfire,"""1983-01-31T00:00:00.000Z""",19821983,Accidental,Escape,11317684.96,15012.04902,0.111023866,1983-01-31T00:00:00.000Z,1983-02-08T00:00:00.000Z
219,"""1983-02-08T00:00:00.000Z""","""1983-02-09T00:00:00.000Z""",Mt Ponsonby 1 (FT),10.83044645,Bushfire,"""1983-02-08T00:00:00.000Z""",19821983,Accidental,Escape,108304.4645,1334.748611,0.001062442,1983-02-08T00:00:00.000Z,1983-02-09T00:00:00.000Z
310,"""1983-02-13T00:00:00.000Z""","""1983-02-13T00:00:00.000Z""",McNeills Rd 1 (FT),1.08588143,Bushfire,"""1983-02-13T00:00:00.000Z""",19821983,Undetermined,Unknown,10858.81426,380.5975084,0.000106522,1983-02-13T00:00:00.000Z,1983-02-13T00:00:00.000Z
220,"""1983-02-20T00:00:00.000Z""","""1983-02-24T00:00:00.000Z""",Simpsons Ck 6 (FT),2.75950531,Bushfire,"""1983-02-20T00:00:00.000Z""",19821983,Undetermined,Unknown,27595.05313,615.1811304,0.000270701,1983-02-20T00:00:00.000Z,1983-02-24T00:00:00.000Z
KR20a,"""1983-03-01T00:00:00.000Z""","""1983-03-01T00:00:00.000Z""",Historical FH KR20a,0.82913207,Planned Burn,"""1983-03-01T00:00:00.000Z""",19821983,Planned Burn,Planned burn,8291.320742,387.5797493,8.13E-05,1983-03-01T00:00:00.000Z,1983-03-01T00:00:00.000Z
KR20d,"""1983-03-01T00:00:00.000Z""","""1983-03-01T00:00:00.000Z""",Historical FH KR20d,1.80989035,Planned Burn,"""1983-03-01T00:00:00.000Z""",19821983,Planned Burn,Planned burn,18098.90354,712.2704496,0.000177546,1983-03-01T00:00:00.000Z,1983-03-01T00:00:00.000Z
KR20c,"""1983-03-01T00:00:00.000Z""","""1983-03-01T00:00:00.000Z""",Historical FH KR20c,2.20726188,Planned Burn,"""1983-03-01T00:00:00.000Z""",19821983,Planned Burn,Planned burn,22072.61875,690.7550762,0.000216527,1983-03-01T00:00:00.000Z,1983-03-01T00:00:00.000Z
MG17,"""1983-03-01T00:00:00.000Z""","""1983-03-01T00:00:00.000Z""",Historical FH MG17,7.07059165,Planned Burn,"""1983-03-01T00:00:00.000Z""",19821983,Planned Burn,Planned burn,70705.91654,2346.195328,0.000693609,1983-03-01T00:00:00.000Z,1983-03-01T00:00:00.000Z
Unknown,"""1983-10-15T00:00:00.000Z""","""1983-10-15T00:00:00.000Z""",Vale of Belvoir 1983,54.65664728,Planned Burn,"""1983-10-15T00:00:00.000Z""",19831984,Planned Burn,Planned burn,546566.4728,3036.516678,0.00536169,1983-10-15T00:00:00.000Z,1983-10-15T00:00:00.000Z
200,"""1983-12-05T00:00:00.000Z""","""1983-12-05T00:00:00.000Z""",Clarence 1 (FT),46.2360399,Bushfire,"""1983-12-05T00:00:00.000Z""",19831984,Accidental,Escape,462360.399,2707.396831,0.004535648,1983-12-05T00:00:00.000Z,1983-12-05T00:00:00.000Z
214,"""1983-12-20T00:00:00.000Z""","""1983-12-21T00:00:00.000Z""",Taranna 1,24.3747599,Bushfire,"""1983-12-20T00:00:00.000Z""",19831984,Accidental,Escape,243747.599,2203.731966,0.002391107,1983-12-20T00:00:00.000Z,1983-12-21T00:00:00.000Z
205,"""1983-12-21T00:00:00.000Z""","""1983-12-23T00:00:00.000Z""",Murdunna1 (FT),37.8599917,Bushfire,"""1983-12-21T00:00:00.000Z""",19831984,Accidental,Escape,378599.917,2572.866357,0.003713977,1983-12-21T00:00:00.000Z,1983-12-23T00:00:00.000Z
