INCD_NO,INCD_START,INCD_END,FIRE_NAME,FIRE_AR_HA,FIRE_TYPE,IGN_DATE,IGN_SEASON,IGN_CAUSE1,IGN_CAUSE2,SEVERITY,COMMENTS,SHAPE_AREA,SHAPE_LEN
207,1998/12/06 00:00:00+00,1998/12/08 00:00:00+00,Dawsons Road (FT),5.2546953,Bushfire,1998/12/06 00:00:00+00,19981999,Undetermined,Unknown,,,52546.9530225,889.612911393
307,1998/12/10 00:00:00+00,1998/12/15 00:00:00+00,Colonels Hills (FT),90.88433676,Bushfire,1998/12/10 00:00:00+00,19981999,Undetermined,Unknown,,,908843.367554,5609.5066091
309,1983/01/25 00:00:00+00,1983/01/25 00:00:00+00,Bens Marsh 2 (FT),2.63971736,Bushfire,1983/01/25 00:00:00+00,19821983,Undetermined,Unknown,,,26397.1735529,599.660534518
217,1983/01/31 00:00:00+00,1983/02/05 00:00:00+00,Simpsons Ck 5 (FT),15.28920684,Bushfire,1983/01/31 00:00:00+00,19821983,Undetermined,Unknown,,,152892.068402,1743.69433263
218,1983/01/31 00:00:00+00,1983/02/08 00:00:00+00,Poisonhill 1 (FT),1131.76849621,Bushfire,1983/01/31 00:00:00+00,19821983,Accidental,Escape,,,11317684.9621,15012.0490192
219,1983/02/08 00:00:00+00,1983/02/09 00:00:00+00,Mt Ponsonby 1 (FT),10.83044645,Bushfire,1983/02/08 00:00:00+00,19821983,Accidental,Escape,,,108304.464505,1334.74861147
310,1983/02/13 00:00:00+00,1983/02/13 00:00:00+00,McNeills Rd 1 (FT),1.08588143,Bushfire,1983/02/13 00:00:00+00,19821983,Undetermined,Unknown,,,10858.8142599,380.597508415
220,1983/02/20 00:00:00+00,1983/02/24 00:00:00+00,Simpsons Ck 6 (FT),2.75950531,Bushfire,1983/02/20 00:00:00+00,19821983,Undetermined,Unknown,,,27595.0531266,615.181130439
202,1982/11/06 00:00:00+00,1982/11/09 00:00:00+00,Levevdale 2 (FT),2659.30143865,Bushfire,1982/11/06 00:00:00+00,19821983,Accidental,Escape,,,26593014.3865,38475.9088515
204,1982/11/06 00:00:00+00,1982/11/08 00:00:00+00,Smith Stops 1 (FT),2746.3118797,Bushfire,1982/11/06 00:00:00+00,19821983,Undetermined,Unknown,,,27463118.797,23277.6079979
306,1983/01/14 00:00:00+00,1983/01/17 00:00:00+00,Little Bluetier 1 (FT),52.27676354,Bushfire,1983/01/14 00:00:00+00,19821983,Undetermined,Unknown,,,522767.635376,3891.87498691
200,1983/12/05 00:00:00+00,1983/12/05 00:00:00+00,Clarence 1 (FT),46.2360399,Bushfire,1983/12/05 00:00:00+00,19831984,Accidental,Escape,,,462360.398966,2707.39683147
1396,1977/11/25 00:00:00+00,1977/11/26 00:00:00+00,South of SW53 (FT),21.98083567,Bushfire,1977/11/25 00:00:00+00,19771978,Accidental,Escape,,,219808.356686,4827.99849491
301,1980/01/08 00:00:00+00,1980/01/13 00:00:00+00,St-Johns 1 (FT),148.98046446,Bushfire,1980/01/08 00:00:00+00,19791980,Accidental,Escape,,,1489804.64465,5889.50123822
200,1980/10/01 00:00:00+00,1980/10/02 00:00:00+00,Pirates Bay 1 (FT),502.40835229,Bushfire,1980/10/01 00:00:00+00,19801981,Deliberate,Arson,,,5024083.52292,9103.2103592
224,1987/10/31 00:00:00+00,1987/11/03 00:00:00+00,Simpsons Creek 2 (FT),9.43598671,Bushfire,1987/10/31 00:00:00+00,19871988,Accidental,Escape,,,94359.8671098,1204.04494885
223,1987/11/01 00:00:00+00,1987/11/03 00:00:00+00,Derwent Bridge 1 (FT),17.55679094,Bushfire,1987/11/01 00:00:00+00,19871988,Deliberate,Arson,,,175567.90943,1851.43130306
222,1987/11/01 00:00:00+00,1987/11/04 00:00:00+00,Murders Marsh1 (FT),157.47254704,Bushfire,1987/11/01 00:00:00+00,19871988,Undetermined,Unknown,,,1574725.47036,5905.99145463
220,1987/11/02 00:00:00+00,1987/11/04 00:00:00+00,Coal River 1 (FT),61.02266419,Bushfire,1987/11/02 00:00:00+00,19871988,Accidental,Escape,,,610226.641889,3375.35049464
301,1988/01/05 00:00:00+00,1988/01/13 00:00:00+00,Wellwood Hill 2 (FT),401.4817332,Bushfire,1988/01/05 00:00:00+00,19871988,Undetermined,Unknown,,,4014817.33196,9088.2031753
209,1988/01/07 00:00:00+00,1988/01/21 00:00:00+00,Remarkable Rock 1 (FT),1499.51864991,Bushfire,1988/01/07 00:00:00+00,19871988,Deliberate,Arson,,,14995186.4991,23616.9047465
215,1988/01/07 00:00:00+00,1988/01/11 00:00:00+00,Ellendale Plantation (FT),70.49669691,Bushfire,1988/01/07 00:00:00+00,19871988,Accidental,Escape,,,704966.969083,5967.24721088
213,1988/01/07 00:00:00+00,1988/01/12 00:00:00+00,Mud Hills 1 (FT),242.59746104,Bushfire,1988/01/07 00:00:00+00,19871988,Accidental,Escape,,,2425974.61037,6986.41763779
228,1984/03/18 00:00:00+00,1984/03/19 00:00:00+00,Lake Tooms 2 (FT),272.89290694,Bushfire,1984/03/18 00:00:00+00,19831984,Undetermined,Unknown,,,2728929.06939,8161.54768334
660,1984/02/06 00:00:00+00,1984/02/06 00:00:00+00,Lake Tooms 1 (FT),24.37586204,Bushfire,1984/01/01 00:00:00+00,19831984,Accidental,Escape,,,243758.620449,3590.04038362
864,1984/01/15 00:00:00+00,1984/01/15 00:00:00+00,Jam Creek 1 (FT),230.11869193,Bushfire,1984/01/01 00:00:00+00,19831984,Accidental,Escape,,,2301186.91929,17819.8603361
402,1984/10/23 00:00:00+00,1984/10/24 00:00:00+00,Buckland Army Area 1 (FT),19.96839606,Bushfire,1984/10/23 00:00:00+00,19841985,Accidental,Escape,,,199683.96063,3003.01785011
203,1985/02/11 00:00:00+00,1985/02/12 00:00:00+00,Strickland Rd 1 (FT),12.6019177,Bushfire,1985/02/11 00:00:00+00,19841985,Undetermined,Unknown,,,126019.177007,1324.42635613
202,1986/01/24 00:00:00+00,1986/01/24 00:00:00+00,Rufus 1 (FT),55.59292293,Bushfire,1986/01/24 00:00:00+00,19851986,Deliberate,Arson,,,555929.22932,2980.46214609
201,1986/03/07 00:00:00+00,1986/03/10 00:00:00+00,Lake Gordon1 (FT),65.32027039,Bushfire,1986/03/07 00:00:00+00,19851986,Accidental,Accident,,,653202.703927,3622.36301765
203,1986/12/01 00:00:00+00,1986/12/03 00:00:00+00,NW Dromedary 1 (FT),12.45444935,Bushfire,1986/12/01 00:00:00+00,19861987,Accidental,Escape,,,124544.493539,1443.76241199
212,1983/12/16 00:00:00+00,1984/01/04 00:00:00+00,Newtons 1 (FT),1558.06527933,Bushfire,1983/12/16 00:00:00+00,19831984,Accidental,Escape,,,15580652.7933,20569.1883378
203,1994/12/07 00:00:00+00,1994/12/07 00:00:00+00,Bate Hill 1 (FT),44.73870189,Bushfire,1994/12/07 00:00:00+00,19941995,Undetermined,Unknown,,,447387.018874,3048.26255853
311,1994/12/07 00:00:00+00,1994/12/12 00:00:00+00,Wingys Tier 1 (FT),106.25834959,Bushfire,1994/12/07 00:00:00+00,19941995,Accidental,Escape,,,1062583.4959,4749.91071579
9,1994/12/07 00:00:00+00,1994/12/19 00:00:00+00,Gellibrand Plains (FT),48.77160269,Bushfire,1994/12/07 00:00:00+00,19941995,Accidental,Escape,,,487716.026901,4274.56788905
218,1994/12/07 00:00:00+00,1994/12/08 00:00:00+00,Snake Tier 1 (FT),3.95873476,Bushfire,1994/12/07 00:00:00+00,19941995,Undetermined,Other,,,39587.3475616,915.413808069
400,1994/12/12 00:00:00+00,1995/01/18 00:00:00+00,Caseys Road 1 (FT,2579.83003535,Bushfire,1994/12/12 00:00:00+00,19941995,Accidental,Escape,,,25798300.3535,28610.9924405
408,1994/12/30 00:00:00+00,1995/01/05 00:00:00+00,Mansfields Hill 1 (FT),7.20532541,Bushfire,1994/12/30 00:00:00+00,19941995,Deliberate,Arson,,,72053.2540931,1105.14731017
215,1995/01/03 00:00:00+00,1995/01/04 00:00:00+00,Wrigleys Marsh 2 (FT),3.78585692,Bushfire,1995/01/03 00:00:00+00,19941995,Accidental,Accident,,,37858.5692172,729.753200559
711,1995/01/18 00:00:00+00,1995/01/20 00:00:00+00,Half Moon Marsh (FT),7.47229511,Bushfire,1995/01/18 00:00:00+00,19941995,Deliberate,Arson,,,74722.9510854,1062.56523432
106,1995/02/12 00:00:00+00,1995/02/12 00:00:00+00,No name fire (FT),151.95138249,Bushfire,1995/02/12 00:00:00+00,19941995,Deliberate,Arson,,,1519513.82486,7445.72081777
24,1995/02/18 00:00:00+00,1995/03/17 00:00:00+00,Derby (FT),52.31366601,Bushfire,1995/02/18 00:00:00+00,19941995,Deliberate,Arson,,,523136.660083,3053.30904614
217,1995/02/25 00:00:00+00,1995/02/26 00:00:00+00,Lake Binney 1 (FT),8.65768673,Bushfire,1995/02/25 00:00:00+00,19941995,Deliberate,Arson,,,86576.8672653,1362.19316762
407,1995/01/09 00:00:00+00,1995/01/15 00:00:00+00,Simpsons Bay Road 2 (FT,289.39793321,Bushfire,1995/01/09 00:00:00+00,19941995,Undetermined,Unknown,,,2893979.33214,8000.43800609
211,1994/10/27 00:00:00+00,1994/10/31 00:00:00+00,Baldy Hill 2 (FT),182.73512661,Bushfire,1994/10/27 00:00:00+00,19941995,Accidental,Escape,,,1827351.26605,8095.51209936
214,1988/01/07 00:00:00+00,1988/01/13 00:00:00+00,Victoria Valley Rd 1 (FT),730.73968748,Bushfire,1988/01/07 00:00:00+00,19871988,Undetermined,Unknown,,,7307396.87479,13914.4969372
212,1988/01/07 00:00:00+00,1988/01/09 00:00:00+00,Thumbs Marsh 1 (FT),7.20574183,Bushfire,1988/01/07 00:00:00+00,19871988,Undetermined,Unknown,,,72057.4182997,990.758554164
210,1988/01/11 00:00:00+00,1988/01/12 00:00:00+00,New Country Marsh Rd (FT),11.94843058,Bushfire,1988/01/11 00:00:00+00,19871988,Deliberate,Arson,,,119484.305843,1344.98967566
208,1988/01/20 00:00:00+00,1988/01/21 00:00:00+00,London Marshes 1 (FT),1.10514875,Bushfire,1988/01/20 00:00:00+00,19871988,Deliberate,Arson,,,11051.4875391,447.469883305
207,1988/01/28 00:00:00+00,1988/01/30 00:00:00+00,Lanes Tier 1 (FT),152.77315169,Bushfire,1988/01/28 00:00:00+00,19871988,Deliberate,Arson,,,1527731.51687,5346.28737846
193392,2012/04/01 00:00:00+00,2012/04/01 00:00:00+00,7MB Day Use Area  2 #2,0.12843749,Bushfire,2012/04/01 00:00:00+00,20112012,Deliberate,Arson,,,1284.37486024,148.116710296
193380,2012/04/01 00:00:00+00,2012/04/01 00:00:00+00,7MB Day Use Area  2 #1,0.00014352,Bushfire,2012/04/01 00:00:00+00,20112012,Deliberate,Arson,,Torched car FA9623,1.435194185,5.36688503907
133453,2007/04/10 00:00:00+00,2007/05/07 00:00:00+00,Perkins Rd,195.07333501,Bushfire,2007/04/10 00:00:00+00,20062007,Deliberate,Arson,,Boundary as at 15/4/09,1950733.35015,9121.10839588
702,1995/10/10 00:00:00+00,1995/10/11 00:00:00+00,Tanina Bluff (FT),34.18098183,Bushfire,1995/10/10 00:00:00+00,19951996,Undetermined,Other,,,341809.818261,2482.81477216
806,1995/10/17 00:00:00+00,1995/10/17 00:00:00+00,Arve Plains (FT),21.5672244,Bushfire,1995/10/17 00:00:00+00,19951996,Deliberate,Arson,,,215672.244024,2261.89619937
